id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
1,✍️,1.1,1.0,"[248,73]","[""kamay"",""magsulat""]"
2,❤️,1.1,1.0,[411],"[""pula""]"
3,🌞,6.0,1.0,[53],"[""mainit""]"
4,🌲,6.0,1.0,"[206,15]","[""kagubatan"",""puno""]"
5,🐅,6.0,1.0,[25],"[""tigre""]"
6,🐈,6.0,1.0,"[352,120,9]","[""nakaupo"",""maupo"",""pusa""]"
7,🐕,6.0,1.0,[7],"[""aso""]"
8,🐝,6.0,1.0,"[447,58]","[""insekto"",""bubuyog""]"
9,🐦,6.0,1.0,[19],"[""ibon""]"
10,🐧,6.0,1.0,[54],"[""malamig""]"
11,👖,6.0,1.0,"[427,27]","[""pantalon"",""damit""]"
12,👚,6.0,1.0,[27],"[""damit""]"
13,👦,6.0,1.0,"[357,135]","[""bata"",""toto""]"
14,👩,6.0,1.0,"[41,99,144]","[""nanay"",""ate"",""ina""]"
15,👴,6.0,1.0,[52],"[""lolo""]"
16,🕊️,7.0,1.0,"[102,17,19,377,172]","[""nakakalipad"",""batubato"",""ibon"",""lumipad"",""makalilipad""]"
17,😴,6.1,1.0,"[76,78]","[""matulog"",""pagod""]"
18,🦋,9.0,3.0,"[102,377,11]","[""nakakalipad"",""lumipad"",""paruparo""]"
19,🚰,6.0,1.0,"[138,93]","[""tubig"",""balon""]"
20,😨,6.0,1.0,"[34,337]","[""natatakot"",""magulat""]"
21,🤝,9.0,3.0,"[40,297]","[""kaibigan"",""makipagkita""]"
22,👀,6.0,1.0,"[115,364,347,125,106]","[""makakita"",""pares"",""mata"",""dumungaw"",""makita""]"
23,✈️,1.1,1.0,"[102,377,304,172]","[""nakakalipad"",""lumipad"",""mabilis"",""makalilipad""]"
24,🦉,9.0,3.0,"[352,103]","[""nakaupo"",""kuwago""]"
25,🐟,6.0,1.0,"[107,394,138]","[""isda"",""tuna"",""tubig""]"
26,💃,6.0,1.0,[108],"[""sayaw""]"
27,🕺,9.0,3.0,"[108,437]","[""sayaw"",""masaya""]"
28,🎽,6.0,1.0,[117],"[""habulin""]"
29,🏃,6.0,1.0,"[294,117,304]","[""tumakbo"",""habulin"",""mabilis""]"
30,👟,6.0,1.0,"[294,376,117]","[""tumakbo"",""sapatos"",""habulin""]"
31,💺,6.0,1.0,"[284,120]","[""upuan"",""maupo""]"
32,🐒,6.0,1.0,"[352,207,120]","[""nakaupo"",""unggoy"",""maupo""]"
33,🛑,9.0,3.0,[124],"[""huminto""]"
34,✋,6.0,1.0,"[248,124]","[""kamay"",""huminto""]"
35,🍂,6.0,1.0,"[206,130]","[""kagubatan"",""mahulog""]"
36,🐛,6.0,1.0,"[134,158]","[""bulate"",""gumapang""]"
37,👨,6.0,1.0,"[442,136,380,55]","[""mama"",""tata"",""lalaki"",""tatay""]"
38,🌊,6.0,1.0,"[138,396]","[""tubig"",""dagat""]"
39,☔,4.0,1.0,[138],"[""tubig""]"
40,💧,6.0,1.0,[138],"[""tubig""]"
41,🐘,6.0,1.0,[139],"[""elepante""]"
42,👒,6.0,1.0,"[140,373]","[""sumbrero"",""sombrero""]"
43,🤠,9.0,3.0,"[140,373,437]","[""sumbrero"",""sombrero"",""masaya""]"
44,👓,6.0,1.0,"[106,349]","[""makita"",""salamin""]"
45,🤓,8.0,1.0,"[106,349]","[""makita"",""salamin""]"
46,🦁,8.0,1.0,[146],"[""leon""]"
47,😕,6.1,1.0,[],[]
48,🐎,6.0,1.0,"[150,304]","[""kabayo"",""mabilis""]"
49,🦄,8.0,1.0,"[150,367]","[""kabayo"",""kulay""]"
50,🦆,9.0,3.0,"[151,186]","[""pato"",""bibe""]"
51,🐍,6.0,1.0,"[449,158]","[""ahas"",""gumapang""]"
52,🐜,6.0,1.0,"[160,447]","[""langgam"",""insekto""]"
53,🍞,6.0,1.0,"[161,451]","[""tinapay"",""luto""]"
54,🥖,9.0,3.0,[161],"[""tinapay""]"
55,🍴,6.0,1.0,[173],"[""makakain""]"
56,🔢,6.0,1.0,[182],"[""bilangin""]"
57,🐤,6.0,1.0,[185],"[""sisiw""]"
58,🐣,6.0,1.0,[185],"[""sisiw""]"
59,🐥,6.0,1.0,[185],"[""sisiw""]"
60,🐔,6.0,1.0,[372],"[""manok""]"
61,🐓,6.0,1.0,[],[]
62,🛒,9.0,3.0,[193],"[""kariton""]"
63,🗣️,7.0,1.0,"[197,413]","[""magsalita"",""sabihin""]"
64,🦌,9.0,3.0,[204],"[""usa""]"
65,🌳,6.0,1.0,"[206,15]","[""kagubatan"",""puno""]"
66,🐵,6.0,1.0,[207],"[""unggoy""]"
67,🙉,6.0,1.0,[207],"[""unggoy""]"
68,😢,6.0,1.0,[210],"[""umiyak""]"
69,😭,6.0,1.0,[210],"[""umiyak""]"
70,😿,6.0,1.0,[210],"[""umiyak""]"
71,🐄,6.0,1.0,[],[]
72,🏊,6.0,1.0,"[242,218]","[""lawa"",""lumangoy""]"
