id,value_ipa,value_sampa,diacritic,sound_type,usage_count
1,ɑ,A,False,VOWEL,15698680
2,s,s,False,CONSONANT,112535
3,ŋ,N,False,CONSONANT,119666
4,iː,i,False,VOWEL,57344
5,n,n,False,CONSONANT,260901
6,ɔ,O,False,VOWEL,78366
7,t,t,False,CONSONANT,106722
8,ː,:,False,,0
9,p,p,False,CONSONANT,39644
10,j,j,False,CONSONANT,27296
11,u,u,False,VOWEL,39368
12,r,r,False,CONSONANT,12903
13,l,l,False,CONSONANT,76108
14,ɪ,I,False,VOWEL,148465
15,k,k,False,CONSONANT,73227
16,m,m,False,CONSONANT,51784
17,d,d,False,CONSONANT,10602
18,ˈ,,False,,0
19,h,h,False,CONSONANT,9438
20,b,b,False,CONSONANT,40442
21,ɛ,E,False,VOWEL,1888
22,g,g,False,CONSONANT,15092
23,w,w,False,CONSONANT,5994
24,ʃ,S,False,CONSONANT,518
25,ɑɪ,AI,False,VOWEL,0
26,z,z,False,CONSONANT,0
27,.,.,False,,0
28,r̩,r_=,False,CONSONANT,0
29,ʔ,?,False,VOWEL,0
30,aʊ,aU,False,VOWEL,0
31,dʒ,dZ,False,CONSONANT,0
32,f,f,False,CONSONANT,0
33,tʃ,tS,False,CONSONANT,24
34,v,v,False,CONSONANT,0
35,æ,{,False,VOWEL,0
36,ð,D,False,CONSONANT,0
37,ɔɪ,OI,False,VOWEL,0
38,ə,@,False,VOWEL,300
39,əʊ,@U,False,VOWEL,0
40,ɛɪ,EI,False,VOWEL,0
41,ɲ,J,False,CONSONANT,46
42,ɾ,4,False,CONSONANT,0
43,ʊ,U,False,VOWEL,0
44,ʌ,V,False,VOWEL,0
45,ʒ,Z,False,CONSONANT,0
46,ˌ,%,False,,0
47,θ,T,False,CONSONANT,0
236,ɑː,A:,False,VOWEL,54540
237,ɔː,O:,False,VOWEL,1704
238,uː,u:,False,VOWEL,1749
239,ɛː,E:,False,VOWEL,84
