id,content_type,content_license,attribution_url,title,file_size,checksum_md5,cid,download_url,image_format
1,image/jpg,,,storybook-1-cover,141702,bb6d57d048d5d6f104069f4beb633229,88dd1def5b30d163cf717b9d5d58921bd93f8f5e,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/1_r2.jpg,JPG
3,image/jpg,,,storybook-1-ch-2,124954,bd283167ef867f9c034fe67059954549,53c1caad282c80e7fe0c5672a9f5eb735a588184,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3_r2.jpg,JPG
4,image/jpg,,,storybook-1-ch-3,135720,35bfd1a1dfe94068b0372d7ab6eedbb5,68f449dc98dcf1c6ccb332563bede3c60eda2aac,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/4_r1.jpg,JPG
5,image/jpg,,,storybook-1-ch-4,133215,54cdc4da5cfe14dcc656a5aabfc7cb29,afb8f5a72da5a108a9db5e8d496f828c1c4ad08e,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/5_r1.jpg,JPG
6,image/jpg,,,storybook-1-ch-5,112126,b085eeb762204a91148092845aa642aa,209d02d5abf8abb1fbf3278e12a18240a4140ce6,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/6_r1.jpg,JPG
7,image/jpg,,,storybook-1-ch-6,116769,55c33d4de9b23718fa287610bde7ed83,cfbf46ba4dc299486c4375b735f8ed710da00e99,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/7_r3.jpg,JPG
8,image/jpg,,,storybook-1-ch-7,135106,60bf6d25d5d3050f967144100603aebb,f9a01242951bb33f261751c31cb5850776732f6a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/8_r1.jpg,JPG
9,image/jpg,,,storybook-1-ch-8,141582,faa6838cc6451b2003257079ef5ded3a,73eec85bbc37b259270e5b70f59f7c0edb2d54ff,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/9_r1.jpg,JPG
12,image/jpg,,,storybook-2-cover,78022,b60087fb69432cc4dbcd4a44a9a0c50e,a5cf9a61ba02d0c639046862995dd71916f73124,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/12_r4.jpg,JPG
14,image/jpg,,,storybook-2-ch-2,83512,133ff8817ded9696fb3693d27dab0a06,930bd6537b30c24f338e37453b1229933ce1ae88,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/14_r1.jpg,JPG
15,image/jpg,,,storybook-2-ch-3,62917,29d7a3a44b8dcde25c632816d004b19d,872b231fab85ba07d8fcf466855349e5b55d041b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/15_r1.jpg,JPG
16,image/jpg,,,storybook-2-ch-4,103188,e517e33b19500eae1e554065be363f82,555c2cc00283735363449b31d18194d6bc223648,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/16_r1.jpg,JPG
17,image/jpg,,,storybook-2-ch-5,62066,71fdb86261a07442fc11b0007c1705eb,a0b1d4ed91764f44d38fbe033bb6497c4f4870c1,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/17_r1.jpg,JPG
18,image/jpg,,,storybook-2-ch-6,40609,8dfca8771340bff4c4bfcd20b7445686,1c9542df4ab4afc564fbb2200dd0df1f5b7a41ce,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/18_r2.jpg,JPG
19,image/jpg,,,storybook-2-ch-7,59123,26c913a70bca9241df6ce9a8af9f441f,d65130edb297ad94a1212c20ede3a8695e69a143,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/19_r1.jpg,JPG
20,image/jpg,,,storybook-2-ch-8,86758,6907604619621df9c25899304d8f2978,fb0a35c2ded5419d189452f1ec8202d1491f818f,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/20_r3.jpg,JPG
40,image/jpg,,,storybook-4-cover,104202,71f671014057afa84b9be0d49a89039c,3111df37b9f289ece27cd54e6fe9bbb4ea244041,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/40_r4.jpg,JPG
42,image/jpg,,,storybook-4-ch-2,97038,87d9d83cc42b957964d4f4326043e9ee,3936bb9c554b83b6e15345c6fd9ef79997857911,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/42_r1.jpg,JPG
43,image/jpg,,,storybook-4-ch-3,140135,145211f6b8cdb93bb8934116b62c4e69,ce0e463c58e36c4f4f8c7dffeb2fd51240d32782,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/43_r1.jpg,JPG
44,image/jpg,,,storybook-4-ch-4,141155,ef32943b652474d90e9080476e62fe04,0270e66e54d756cc866af13449c22f18d8a1617b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/44_r1.jpg,JPG
45,image/jpg,,,storybook-4-ch-5,142081,79e1332d3d7f97d3ac0f217588931edc,b588f9c55530961e03ef971730800328ca8743f6,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/45_r1.jpg,JPG
46,image/jpg,,,storybook-4-ch-6,124277,d4d26e6c16774fc28283072820805dba,d76077f6e5fdef41380abddac24873134d714997,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/46_r1.jpg,JPG
47,image/jpg,,,storybook-4-ch-7,123405,cb8d27a9f041d25482ad43263078d3be,ac895dad419474b04be7f41f296ff4f58527ab6c,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/47_r1.jpg,JPG
48,image/jpg,,,storybook-4-ch-8,139097,5cc88642297a8fb3cf4c139e8d991c39,d6c2d2e9c0d5c0726eb9600a259e501ce13037db,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/48_r2.jpg,JPG
49,image/jpg,,,storybook-4-ch-9,154040,6ca6debe24dd8fd48a8923166f7fd924,667e54c9c075c0bf8dbe98b62c0d94012116a8fb,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/49_r3.jpg,JPG
50,image/jpg,,,storybook-4-ch-10,119990,8b1f46b96df87fe442f4ed6cfbc156a3,a4d644bb2c17639bdd1fb02126ddaf97a534d16a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/50_r1.jpg,JPG
51,image/jpg,,,storybook-4-ch-11,142474,63c6a11d39b70e9c84281461794f0ca3,bf6445e1822f14dc1b90dada68a667f8219d0914,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/51_r3.jpg,JPG
52,image/jpg,,,storybook-4-ch-12,171702,9b6cc5f6e50f8d8f1ec4cad3b3b71d83,44b123ebaa554f49fef7eb9908f79dcea63ac9b6,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/52_r3.jpg,JPG
53,image/jpg,,,storybook-4-ch-13,152551,ff59052bff3637ba02fe29ae58770ac5,b30a86adbf6c37003cff3f792127690ab69e48e8,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/53_r2.jpg,JPG
57,image/jpg,,,storybook-5-cover,109540,beb4c74b739c4be050cd91f03d8b0cd9,e75558ebd6e075b5d1388e814f3d4015b0724dbe,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/57_r2.jpg,JPG
59,image/jpg,,,storybook-5-ch-2,97354,da9cd79f324ec0d688ca8ea6acf1277c,e4e38abb9b2eb3ebfd1233d027670695d0f8bf8d,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/59_r1.jpg,JPG
60,image/jpg,,,storybook-5-ch-3,85937,6d4eef83a7611b5def0d3b9fc3d3693e,93d6bd1afe5ad678494ba46fcee419fb5c9a152c,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/60_r1.jpg,JPG
61,image/jpg,,,storybook-5-ch-4,110429,4ebd609e4cae0e3de5e49e52afb9179d,d4917a5b7310b401275f5b57cd5d20bb5ec321a5,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/61_r1.jpg,JPG
62,image/jpg,,,storybook-5-ch-5,100483,59a95fb894b91040ae15375741e6a7f0,af4d33ac78bf8e87430df5bd6540ccc252d9f334,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/62_r1.jpg,JPG
63,image/jpg,,,storybook-5-ch-6,83819,b4500fbb2496ffddea1184af288eeecb,808f99e65a69b1add12667016e48c3ea3e6ead49,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/63_r1.jpg,JPG
64,image/jpg,,,storybook-5-ch-7,69779,cd13c4235a6e9bbfc1a64675be4163a2,7d07489e7d5aabc4777d08abc8ef10223918694a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/64_r1.jpg,JPG
65,image/jpg,,,storybook-5-ch-8,71752,abdcfde7214676d0e1b2f2e7d5f52a81,b80f898017d457a6b9e1885625e39bb8338eb3e3,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/65_r1.jpg,JPG
66,image/jpg,,,storybook-5-ch-9,88760,0cbf28d267c01aa53e1b2f466928728a,df0f0cceec6662ab59c3ef3f26002f4bf0717a14,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/66_r4.jpg,JPG
67,image/jpg,,,storybook-5-ch-10,89673,5dd4982fea208c7f1dea7ecba3de150e,36f3335ae44ba021edd747ba9e7f16bc1f34c27f,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/67_r1.jpg,JPG
68,image/jpg,,,storybook-5-ch-11,94272,7b359a304c8f68af97a8e9524748a27e,252ed7bd2cd610234df14edacbf43f896ac2b690,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/68_r1.jpg,JPG
69,image/jpg,,,storybook-5-ch-12,87929,ec7cc99d46126de1495a1b016ba516d5,b7ee5083209346f9ecd3a7fa4cd1e3f4dac3ce24,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/69_r1.jpg,JPG
70,image/jpg,,,storybook-6-cover,77141,55eb2ca91c4dfd41ad0745210cd0e3fb,02f1894e2cbaed9401da9db8fc638102f0ed0af0,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/70_r2.jpg,JPG
72,image/jpg,,,storybook-6-ch-2,123122,3226be4b417e36ba61817e360a6cb5b7,997660b2dab6cb80a8b27c52305e5977f6487f8b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/72_r2.jpg,JPG
73,image/jpg,,,storybook-6-ch-3,76372,e8123a6b7a58c2962fdca076b94da915,1e77e48685659ab4adb064382091a1c60d49d079,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/73_r2.jpg,JPG
74,image/jpg,,,storybook-6-ch-4,42453,b2c2b3d0dab342088dd56e8fa884aa06,3670d335c40d0cf96e17c1d011f00b11042007ed,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/74_r2.jpg,JPG
